Rank,Team,Signed,Avg Age,Active,Dead,Total Cap,Cap Space,Unnamed: 8,year
1,Houston OilersHST,0.0,0.0,$0,"$3,166","$3,166",,,2011
2,Tampa Bay BuccaneersTB,54.0,24.09,"$80,385,451","$5,593,548","$85,978,999",,,2011
3,Jacksonville JaguarsJAC,68.0,25.24,"$89,528,243","$3,388,199","$93,715,109",,,2011
4,Kansas City ChiefsKC,52.0,25.1,"$102,904,859","$65,364","$103,720,223",,,2011
5,Seattle SeahawksSEA,61.0,25.02,"$79,462,947","$20,569,362","$106,215,642",,,2011
6,Denver BroncosDEN,60.0,25.25,"$99,422,410","$11,964,594","$111,387,004",,,2011
7,Buffalo BillsBUF,62.0,25.4,"$93,536,799","$10,454,000","$105,240,799",,,2011
8,Cleveland BrownsCLE,45.0,25.49,"$93,500,474","$4,678,913","$98,179,387",,,2011
9,Dallas CowboysDAL,55.0,25.49,"$92,617,366","$14,110,774","$106,728,140",,,2011
10,Cincinnati BengalsCIN,57.0,25.25,"$100,157,460","$4,637,133","$107,182,829",,,2011
11,San Francisco 49ersSF,66.0,25.32,"$108,629,039","$6,050,428","$114,679,467",,,2011
12,New Orleans SaintsNO,45.0,24.91,"$96,237,948","$7,511,568","$103,977,516",,,2011
13,New England PatriotsNE,66.0,25.53,"$100,947,539","$5,195,421","$107,017,960",,,2011
League Average,League Average,,,,,,,,2011
League Average,League Average,,,,,,,,2011
14,St. Louis RamsSTL,56.0,25.21,"$106,072,816","$656,291","$107,541,485",,,2011
15,Tennessee TitansTEN,61.0,25.07,"$111,449,324","$3,526,209","$114,975,533",,,2011
16,Chicago BearsCHI,61.0,25.15,"$109,794,120","$6,636,379","$116,430,499",,,2011
17,Green Bay PackersGB,59.0,24.8,"$112,459,454","$3,079,310","$115,538,764",,,2011
18,Baltimore RavensBAL,55.0,25.85,"$107,224,175","$3,074,349","$118,969,024",,,2011
19,New York JetsNYJ,64.0,25.13,"$111,547,719","$9,890,165","$121,437,884",,,2011
20,Indianapolis ColtsIND,58.0,25.36,"$111,842,068","$694,341","$116,111,409",,,2011
21,Washington RedskinsWAS,69.0,25.84,"$109,819,443","$16,229,148","$127,938,296",,,2011
22,Miami DolphinsMIA,61.0,25.46,"$113,831,730","$9,754,712","$123,861,108",,,2011
23,Arizona CardinalsARI,63.0,26.14,"$112,570,561","$5,226,999","$117,797,560",,,2011
24,Philadelphia EaglesPHI,65.0,25.2,"$120,710,769","$6,179,232","$126,890,001",,,2011
25,Minnesota VikingsMIN,56.0,25.27,"$110,182,201","$2,871,990","$118,315,357",,,2011
26,New York GiantsNYG,64.0,25.48,"$114,374,173","$4,394,098","$118,768,271",,,2011
27,Carolina PanthersCAR,66.0,24.8,"$120,892,742","$1,264,819","$122,157,561",,,2011
28,Houston TexansHOU,58.0,25.39,"$115,235,071","$4,240,263","$122,225,334",,,2011
29,San Diego ChargersSD,61.0,25.85,"$113,649,637","$1,402,059","$123,073,362",,,2011
30,Oakland RaidersOAK,52.0,25.56,"$121,750,727","$310,711","$126,172,967",,,2011
31,Detroit LionsDET,62.0,26.11,"$123,932,700","$1,088,426","$125,596,126",,,2011
32,Atlanta FalconsATL,56.0,26.48,"$123,051,711","$3,779,956","$126,831,667",,,2011
33,Pittsburgh SteelersPIT,76.0,25.63,"$119,886,237","$3,092,861","$129,561,598",,,2011
1,Houston OilersHST,0.0,0.0,$0,"$6,334","$6,334",,,2012
2,Oakland RaidersOAK,65.0,26.09,"$83,335,547","$18,662,932","$112,876,479",,,2012
3,Washington RedskinsWAS,66.0,26.12,"$103,327,645","$6,742,361","$115,061,256",,,2012
4,Cincinnati BengalsCIN,61.0,25.48,"$95,877,016","$6,168,169","$115,376,478",,,2012
5,Minnesota VikingsMIN,58.0,25.5,"$103,750,000","$11,121,795","$115,609,941",,,2012
6,St. Louis RamsSTL,55.0,25.16,"$100,174,951","$11,153,750","$116,242,859",,,2012
7,Philadelphia EaglesPHI,66.0,25.64,"$104,182,562","$9,329,673","$117,645,569",,,2012
8,New Orleans SaintsNO,66.0,25.98,"$108,084,458","$5,531,362","$118,845,223",,,2012
9,Green Bay PackersGB,60.0,25.57,"$107,687,811","$4,701,497","$118,996,805",,,2012
10,Indianapolis ColtsIND,61.0,25.46,"$80,695,867","$34,153,198","$119,651,331",,,2012
11,Tennessee TitansTEN,64.0,25.47,"$102,165,031","$1,712,920","$120,999,867",,,2012
League Average,League Average,,,,,,,,2012
League Average,League Average,,,,,,,,2012
12,Miami DolphinsMIA,67.0,25.24,"$105,515,477","$12,051,542","$121,846,186",,,2012
13,Pittsburgh SteelersPIT,66.0,26.09,"$103,045,582","$9,861,995","$124,257,245",,,2012
14,Houston TexansHOU,61.0,26.03,"$104,233,297","$16,575,412","$125,088,709",,,2012
15,New York GiantsNYG,59.0,26.36,"$117,591,613","$3,974,153","$125,489,604",,,2012
16,Arizona CardinalsARI,66.0,26.58,"$117,389,856","$8,236,317","$125,626,173",,,2012
17,Seattle SeahawksSEA,60.0,25.6,"$100,239,603","$22,989,653","$126,486,060",,,2012
18,San Diego ChargersSD,67.0,26.72,"$111,292,156","$9,913,147","$126,645,772",,,2012
19,Cleveland BrownsCLE,64.0,25.36,"$106,897,462","$7,044,606","$127,031,421",,,2012
20,Atlanta FalconsATL,60.0,26.48,"$122,023,197","$2,781,834","$127,051,079",,,2012
21,Carolina PanthersCAR,59.0,25.56,"$99,903,996","$6,123,077","$127,403,460",,,2012
22,Chicago BearsCHI,65.0,26.74,"$118,614,114","$5,643,211","$128,111,164",,,2012
23,New England PatriotsNE,65.0,26.03,"$103,473,442","$18,669,694","$128,199,839",,,2012
24,Dallas CowboysDAL,67.0,25.93,"$104,514,642","$22,684,076","$130,229,465",,,2012
25,New York JetsNYJ,71.0,25.85,"$126,115,291","$3,483,228","$130,453,519",,,2012
26,Jacksonville JaguarsJAC,69.0,25.87,"$104,027,839","$10,462,285","$131,006,398",,,2012
27,Detroit LionsDET,66.0,26.8,"$125,338,430","$737,228","$131,428,399",,,2012
28,Denver BroncosDEN,60.0,26.3,"$120,588,032","$6,909,179","$131,648,944",,,2012
29,Baltimore RavensBAL,65.0,26.38,"$116,988,992","$10,525,194","$132,146,757",,,2012
30,Buffalo BillsBUF,63.0,25.81,"$99,480,489","$21,541,495","$132,433,193",,,2012
31,San Francisco 49ersSF,59.0,26.66,"$131,676,428","$555,680","$137,763,308",,,2012
32,Tampa Bay BuccaneersTB,65.0,25.4,"$115,910,913","$3,947,884","$138,329,614",,,2012
33,Kansas City ChiefsKC,65.0,25.8,"$133,969,686","$1,459,842","$139,956,474",,,2012
1,Jacksonville JaguarsJAC,61.0,24.9,"$76,481,330","$35,728,734","$120,494,441",,,2013
2,Cleveland BrownsCLE,58.0,24.95,"$94,420,575","$13,777,043","$113,736,500",,,2013
3,Philadelphia EaglesPHI,55.0,25.64,"$113,332,086","$12,079,098","$127,017,785",,,2013
4,Buffalo BillsBUF,56.0,25.41,"$93,133,764","$18,337,408","$115,151,649",,,2013
5,Carolina PanthersCAR,59.0,26.56,"$87,661,776","$18,607,423","$109,976,646",,,2013
6,Miami DolphinsMIA,55.0,25.69,"$83,538,929","$12,900,362","$112,354,370",,,2013
7,Green Bay PackersGB,59.0,25.1,"$105,630,986","$3,119,288","$120,756,853",,,2013
8,Tennessee TitansTEN,56.0,25.96,"$108,433,715","$12,550,074","$127,458,573",,,2013
9,Cincinnati BengalsCIN,61.0,25.93,"$114,672,294","$8,141,422","$127,066,245",,,2013
10,Denver BroncosDEN,59.0,26.53,"$118,575,997","$11,883,003","$133,046,000",,,2013
11,Tampa Bay BuccaneersTB,62.0,25.42,"$107,554,078","$14,407,084","$127,779,333",,,2013
12,Arizona CardinalsARI,60.0,26.62,"$98,975,699","$18,449,362","$120,046,145",,,2013
League Average,League Average,,,,,,,,2013
League Average,League Average,,,,,,,,2013
13,New England PatriotsNE,55.0,25.64,"$95,721,433","$16,697,929","$123,765,027",,,2013
14,Oakland RaidersOAK,58.0,25.83,"$62,911,225","$55,371,535","$121,534,233",,,2013
15,New York JetsNYJ,60.0,25.87,"$97,161,812","$22,421,993","$122,145,176",,,2013
16,San Francisco 49ersSF,55.0,26.35,"$111,080,375","$5,256,877","$122,183,675",,,2013
17,Chicago BearsCHI,57.0,27.04,"$118,072,918","$6,199,751","$125,564,669",,,2013
18,Seattle SeahawksSEA,57.0,25.54,"$113,492,822","$8,368,014","$133,725,554",,,2013
19,San Diego ChargersSD,59.0,25.93,"$101,204,163","$12,298,555","$120,452,285",,,2013
20,Dallas CowboysDAL,58.0,25.79,"$96,138,211","$17,118,735","$116,978,839",,,2013
21,Detroit LionsDET,57.0,26.39,"$97,903,420","$14,829,672","$119,919,260",,,2013
22,Kansas City ChiefsKC,57.0,25.47,"$115,279,528","$19,028,711","$135,499,353",,,2013
23,Houston TexansHOU,63.0,25.53,"$109,726,654","$6,812,448","$123,826,813",,,2013
24,Minnesota VikingsMIN,58.0,25.59,"$119,282,647","$4,909,405","$128,850,660",,,2013
25,Atlanta FalconsATL,58.0,26.0,"$100,229,932","$17,155,771","$122,214,225",,,2013
26,New Orleans SaintsNO,55.0,26.33,"$96,939,334","$6,302,472","$124,095,472",,,2013
27,Washington RedskinsWAS,63.0,26.1,"$97,389,614","$6,625,307","$109,663,555",,,2013
28,Pittsburgh SteelersPIT,58.0,26.24,"$99,276,546","$10,959,577","$125,459,345",,,2013
29,St. Louis RamsSTL,55.0,24.93,"$101,325,111","$14,665,104","$124,333,057",,,2013
30,Indianapolis ColtsIND,59.0,26.24,"$109,728,023","$10,847,687","$129,046,015",,,2013
31,Baltimore RavensBAL,55.0,26.05,"$108,485,383","$17,514,344","$127,861,848",,,2013
32,New York GiantsNYG,57.0,26.19,"$96,939,843","$8,936,393","$129,256,255",,,2013
1,Jacksonville JaguarsJAC,64.0,24.97,"$103,149,641","$18,165,907","$125,584,374",,,2014
2,Cleveland BrownsCLE,60.0,25.55,"$111,632,909","$20,616,725","$135,524,779",,,2014
3,New York JetsNYJ,60.0,25.75,"$96,032,661","$19,245,928","$118,345,094",,,2014
4,Philadelphia EaglesPHI,56.0,25.96,"$112,210,669","$10,190,533","$134,761,802",,,2014
5,Tennessee TitansTEN,61.0,26.2,"$97,288,788","$12,688,893","$127,601,550",,,2014
6,Cincinnati BengalsCIN,59.0,25.81,"$123,997,221","$5,142,081","$131,642,102",,,2014
7,Indianapolis ColtsIND,56.0,26.84,"$100,629,580","$5,902,931","$123,726,021",,,2014
8,Miami DolphinsMIA,62.0,25.61,"$121,775,111","$8,367,964","$142,455,998",,,2014
9,Green Bay PackersGB,60.0,25.4,"$127,059,943","$5,477,890","$134,018,492",,,2014
10,Baltimore RavensBAL,68.0,25.54,"$108,719,340","$14,865,768","$124,870,620",,,2014
11,Oakland RaidersOAK,62.0,26.03,"$88,804,054","$17,835,002","$124,442,456",,,2014
League Average,League Average,,,,,,,,2014
League Average,League Average,,,,,,,,2014
12,Seattle SeahawksSEA,60.0,25.6,"$104,081,005","$17,968,453","$130,434,083",,,2014
13,Carolina PanthersCAR,54.0,26.07,"$89,069,888","$27,093,734","$133,399,423",,,2014
14,New England PatriotsNE,59.0,25.68,"$106,914,393","$18,665,581","$134,321,836",,,2014
15,Dallas CowboysDAL,57.0,25.93,"$100,529,973","$27,564,132","$129,488,626",,,2014
16,San Francisco 49ersSF,64.0,26.1,"$109,080,815","$10,210,497","$131,507,823",,,2014
17,Minnesota VikingsMIN,59.0,25.32,"$99,364,225","$8,766,804","$130,020,129",,,2014
18,Buffalo BillsBUF,57.0,25.54,"$116,041,275","$27,015,831","$147,684,870",,,2014
19,Atlanta FalconsATL,59.0,26.32,"$112,913,137","$11,065,205","$133,009,495",,,2014
20,Arizona CardinalsARI,57.0,26.14,"$99,264,014","$15,708,766","$133,228,945",,,2014
21,Houston TexansHOU,61.0,25.54,"$107,817,768","$20,990,794","$132,043,412",,,2014
22,Pittsburgh SteelersPIT,54.0,26.33,"$116,094,468","$13,435,466","$131,947,647",,,2014
23,Tampa Bay BuccaneersTB,60.0,25.5,"$122,260,082","$13,814,575","$137,116,892",,,2014
24,Kansas City ChiefsKC,59.0,25.81,"$103,806,517","$9,407,748","$132,717,955",,,2014
25,Chicago BearsCHI,60.0,26.2,"$104,027,338","$18,280,371","$131,432,310",,,2014
26,Denver BroncosDEN,57.0,25.93,"$123,313,050","$9,483,329","$135,047,626",,,2014
27,New Orleans SaintsNO,60.0,26.2,"$108,853,726","$16,327,000","$131,717,175",,,2014
28,San Diego ChargersSD,57.0,26.51,"$104,154,985","$16,440,510","$134,236,725",,,2014
29,St. Louis RamsSTL,57.0,25.18,"$120,120,288","$8,402,953","$131,027,131",,,2014
30,New York GiantsNYG,62.0,26.16,"$104,260,667","$12,642,349","$131,935,198",,,2014
31,Detroit LionsDET,59.0,26.46,"$120,697,729","$9,379,143","$132,391,778",,,2014
32,Washington RedskinsWAS,61.0,25.87,"$109,161,929","$16,633,031","$132,411,712",,,2014
1,Jacksonville JaguarsJAC,59.0,25.1,"$113,939,472","$9,582,465","$136,247,404",,,2015
2,Tennessee TitansTEN,56.0,25.34,"$91,454,606","$17,866,172","$128,662,671",,,2015
3,Cleveland BrownsCLE,56.0,25.39,"$103,827,287","$7,054,744","$139,647,560",,,2015
4,New York GiantsNYG,60.0,25.87,"$81,804,601","$15,599,806","$128,321,422",,,2015
5,Oakland RaidersOAK,56.0,26.09,"$95,984,869","$16,688,813","$137,071,838",,,2015
6,San Francisco 49ersSF,54.0,25.26,"$75,152,917","$29,094,100","$136,740,459",,,2015
7,Tampa Bay BuccaneersTB,55.0,25.51,"$88,252,175","$25,305,733","$133,567,282",,,2015
8,Dallas CowboysDAL,56.0,25.88,"$89,789,032","$19,218,914","$137,816,498",,,2015
9,Atlanta FalconsATL,53.0,26.55,"$99,720,594","$22,469,541","$136,236,065",,,2015
10,Green Bay PackersGB,55.0,25.56,"$130,544,119","$5,436,397","$141,856,037",,,2015
11,Philadelphia EaglesPHI,57.0,26.21,"$125,895,408","$19,396,358","$150,325,196",,,2015
12,Indianapolis ColtsIND,56.0,26.88,"$120,203,501","$14,263,153","$143,402,177",,,2015
League Average,League Average,,,,,,,,2015
League Average,League Average,,,,,,,,2015
13,Cincinnati BengalsCIN,53.0,26.11,"$134,100,760","$4,848,065","$143,913,511",,,2015
14,Miami DolphinsMIA,52.0,25.13,"$90,566,641","$30,559,418","$144,878,936",,,2015
15,Buffalo BillsBUF,55.0,25.53,"$93,228,100","$13,643,764","$138,342,172",,,2015
16,Washington RedskinsWAS,60.0,26.22,"$112,017,096","$13,087,081","$139,956,532",,,2015
17,Pittsburgh SteelersPIT,61.0,26.38,"$111,599,896","$20,143,726","$138,977,441",,,2015
18,Denver BroncosDEN,54.0,26.24,"$135,142,144","$6,148,288","$145,098,899",,,2015
19,Kansas City ChiefsKC,56.0,25.75,"$114,623,601","$21,535,333","$141,444,281",,,2015
20,Carolina PanthersCAR,55.0,26.55,"$123,069,149","$15,374,865","$145,230,447",,,2015
21,St. Louis RamsSTL,54.0,24.98,"$94,367,751","$11,478,046","$140,686,890",,,2015
22,Baltimore RavensBAL,58.0,25.69,"$73,305,939","$24,009,341","$141,217,050",,,2015
23,Arizona CardinalsARI,58.0,26.28,"$121,979,201","$12,809,409","$144,707,976",,,2015
24,Chicago BearsCHI,58.0,25.79,"$91,954,859","$29,022,282","$141,649,704",,,2015
25,Houston TexansHOU,58.0,25.53,"$104,856,715","$17,423,845","$142,520,116",,,2015
26,New England PatriotsNE,57.0,25.68,"$98,735,571","$19,484,524","$141,316,422",,,2015
27,New York JetsNYJ,55.0,26.27,"$137,997,365","$8,255,570","$153,010,332",,,2015
28,Minnesota VikingsMIN,56.0,25.91,"$126,255,086","$9,150,229","$147,022,479",,,2015
29,New Orleans SaintsNO,58.0,26.62,"$97,128,567","$34,188,706","$142,921,439",,,2015
30,San Diego ChargersSD,55.0,26.16,"$92,053,333","$16,995,532","$140,814,655",,,2015
31,Detroit LionsDET,56.0,26.21,"$109,792,280","$21,236,686","$143,215,794",,,2015
32,Seattle SeahawksSEA,55.0,25.96,"$115,629,474","$19,635,133","$147,364,599",,,2015
1,Cleveland BrownsCLE,55.0,24.69,"$81,775,809","$35,204,018","$130,222,141",,,2016
2,San Francisco 49ersSF,53.0,25.83,"$84,921,427","$12,127,985","$134,002,183",,,2016
3,Jacksonville JaguarsJAC,52.0,25.23,"$109,679,864","$5,108,643","$150,459,217",,,2016
4,Tennessee TitansTEN,53.0,26.09,"$116,118,046","$18,508,957","$150,462,723",,,2016
5,Carolina PanthersCAR,53.0,26.53,"$98,999,535","$13,186,584","$139,231,900",,,2016
6,Washington RedskinsWAS,53.0,26.25,"$117,003,811","$16,723,788","$146,116,126",,,2016
7,Miami DolphinsMIA,50.0,25.96,"$98,532,410","$17,521,239","$151,387,347",,,2016
8,New York GiantsNYG,53.0,26.08,"$127,295,586","$15,250,316","$155,018,529",,,2016
9,New England PatriotsNE,53.0,25.89,"$117,616,342","$17,529,572","$147,674,888",,,2016
League Average,League Average,,,,,,,,2016
League Average,League Average,,,,,,,,2016
10,Philadelphia EaglesPHI,52.0,26.08,"$119,020,957","$24,179,418","$151,957,894",,,2016
11,New Orleans SaintsNO,53.0,26.77,"$86,319,212","$42,124,429","$146,288,954",,,2016
12,Green Bay PackersGB,51.0,25.37,"$134,428,984","$4,663,529","$154,207,025",,,2016
13,Chicago BearsCHI,53.0,25.42,"$73,471,561","$12,797,351","$148,323,553",,,2016
14,Indianapolis ColtsIND,53.0,26.15,"$114,015,686","$17,189,353","$152,482,343",,,2016
15,Detroit LionsDET,53.0,26.32,"$116,112,911","$24,654,669","$149,718,669",,,2016
16,Denver BroncosDEN,53.0,25.28,"$112,742,090","$15,138,349","$147,213,128",,,2016
17,Dallas CowboysDAL,51.0,26.47,"$139,363,235","$3,235,487","$152,736,923",,,2016
18,Cincinnati BengalsCIN,53.0,26.08,"$121,320,842","$3,968,637","$156,396,246",,,2016
19,Los Angeles RamsLAR,53.0,24.89,"$109,645,297","$21,365,306","$149,657,650",,,2016
20,Pittsburgh SteelersPIT,53.0,25.96,"$120,047,251","$11,726,970","$151,862,973",,,2016
21,Kansas City ChiefsKC,53.0,25.28,"$116,014,324","$14,174,760","$152,496,280",,,2016
22,Tampa Bay BuccaneersTB,54.0,25.5,"$120,636,046","$6,310,844","$155,725,098",,,2016
23,Houston TexansHOU,53.0,26.26,"$115,226,229","$8,653,110","$152,060,968",,,2016
24,Buffalo BillsBUF,53.0,26.06,"$112,497,692","$18,773,045","$152,340,574",,,2016
25,Atlanta FalconsATL,52.0,26.67,"$112,615,074","$26,026,281","$153,820,903",,,2016
26,Seattle SeahawksSEA,51.0,25.84,"$120,240,932","$14,163,211","$150,301,345",,,2016
27,Baltimore RavensBAL,53.0,26.3,"$115,846,569","$15,341,537","$150,959,443",,,2016
28,Oakland RaidersOAK,53.0,25.91,"$142,746,501","$9,198,592","$164,335,096",,,2016
29,Arizona CardinalsARI,53.0,25.77,"$111,290,277","$13,722,653","$155,855,865",,,2016
30,San Diego ChargersSD,53.0,25.66,"$101,639,984","$13,365,371","$155,470,367",,,2016
31,Minnesota VikingsMIN,53.0,26.28,"$119,127,210","$7,538,635","$157,201,886",,,2016
32,New York JetsNYJ,54.0,25.19,"$97,375,558","$16,874,389","$158,083,299",,,2016
1,Cleveland BrownsCLE,53.0,23.98,"$77,946,523","$46,236,097","$156,664,052",,,2017
2,San Francisco 49ersSF,53.0,25.77,"$78,589,073","$39,433,149","$145,364,821",,,2017
3,Jacksonville JaguarsJAC,53.0,25.32,"$151,852,626","$11,295,119","$171,292,956",,,2017
4,Tennessee TitansTEN,53.0,26.81,"$149,109,415","$8,068,695","$161,252,092",,,2017
5,New York JetsNYJ,53.0,25.13,"$98,416,921","$20,767,457","$144,902,320",,,2017
6,Tampa Bay BuccaneersTB,53.0,26.11,"$125,106,587","$7,223,802","$153,756,128",,,2017
7,Indianapolis ColtsIND,53.0,25.19,"$90,264,198","$27,574,758","$156,274,655",,,2017
8,Minnesota VikingsMIN,54.0,26.06,"$135,742,794","$11,934,841","$153,553,781",,,2017
9,Houston TexansHOU,53.0,25.81,"$99,775,402","$13,806,954","$159,828,404",,,2017
10,Buffalo BillsBUF,52.0,26.48,"$104,955,026","$28,929,576","$154,567,897",,,2017
League Average,League Average,,,,,,,,2017
League Average,League Average,,,,,,,,2017
11,Los Angeles ChargersLAC,53.0,25.87,"$127,034,223","$18,816,665","$157,638,663",,,2017
12,Denver BroncosDEN,53.0,25.42,"$121,736,835","$5,457,705","$156,404,109",,,2017
13,Cincinnati BengalsCIN,52.0,25.31,"$128,092,498","$4,148,865","$161,692,991",,,2017
14,Oakland RaidersOAK,53.0,25.85,"$144,377,592","$4,390,741","$164,442,467",,,2017
15,Dallas CowboysDAL,54.0,25.26,"$114,468,318","$26,658,546","$159,808,251",,,2017
16,Detroit LionsDET,52.0,25.79,"$130,190,524","$10,914,815","$161,081,019",,,2017
17,Chicago BearsCHI,53.0,25.81,"$110,629,152","$13,239,031","$167,722,301",,,2017
18,Green Bay PackersGB,53.0,25.23,"$115,603,840","$12,069,022","$168,491,403",,,2017
19,Pittsburgh SteelersPIT,53.0,26.08,"$145,814,413","$11,859,437","$163,380,183",,,2017
20,Los Angeles RamsLAR,54.0,25.13,"$141,016,255","$10,001,580","$156,886,564",,,2017
21,Baltimore RavensBAL,53.0,26.28,"$112,215,774","$21,993,528","$158,870,983",,,2017
22,Carolina PanthersCAR,51.0,27.18,"$144,363,005","$12,130,270","$175,448,311",,,2017
23,New England PatriotsNE,52.0,26.87,"$129,468,455","$7,226,565","$163,713,427",,,2017
24,Philadelphia EaglesPHI,53.0,26.08,"$130,626,348","$19,582,640","$172,566,936",,,2017
25,Arizona CardinalsARI,53.0,26.81,"$104,474,970","$7,526,798","$169,351,526",,,2017
26,Washington RedskinsWAS,54.0,25.78,"$114,359,646","$12,634,355","$174,807,970",,,2017
27,Seattle SeahawksSEA,53.0,25.68,"$126,625,244","$7,356,310","$167,367,602",,,2017
28,Atlanta FalconsATL,53.0,26.45,"$147,393,869","$8,459,139","$166,313,787",,,2017
29,New Orleans SaintsNO,51.0,25.86,"$97,762,121","$25,613,267","$161,717,460",,,2017
30,Kansas City ChiefsKC,52.0,26.02,"$135,438,141","$16,051,403","$169,575,858",,,2017
31,New York GiantsNYG,54.0,25.24,"$104,596,283","$10,080,895","$167,429,914",,,2017
32,Miami DolphinsMIA,53.0,25.87,"$102,474,406","$20,045,967","$171,947,683",,,2017
1,Cleveland BrownsCLE,53.0,25.11,"$142,452,164","$25,921,273","$182,046,964",,,2018
2,Indianapolis ColtsIND,52.0,25.21,"$116,290,378","$12,803,242","$144,247,844",,,2018
3,San Francisco 49ersSF,53.0,25.11,"$98,557,855","$27,399,690","$199,312,951",,,2018
4,Tennessee TitansTEN,53.0,25.98,"$117,854,426","$13,200,252","$182,398,711",,,2018
5,Pittsburgh SteelersPIT,53.0,25.72,"$130,326,198","$8,162,296","$161,685,116",,,2018
6,New York JetsNYJ,52.0,25.33,"$109,079,374","$25,994,796","$176,934,695",,,2018
7,Houston TexansHOU,53.0,25.43,"$140,536,221","$15,491,141","$172,217,925",,,2018
8,Dallas CowboysDAL,52.0,25.19,"$121,164,619","$32,554,792","$173,992,050",,,2018
League Average,League Average,,,,,,,,2018
League Average,League Average,,,,,,,,2018
9,Baltimore RavensBAL,53.0,25.92,"$150,160,923","$14,609,080","$170,531,630",,,2018
10,Buffalo BillsBUF,53.0,26.15,"$104,008,378","$70,343,254","$179,596,576",,,2018
11,Cincinnati BengalsCIN,53.0,25.26,"$112,197,398","$9,127,166","$180,328,193",,,2018
12,Miami DolphinsMIA,53.0,26.0,"$123,506,032","$20,095,019","$170,350,750",,,2018
13,New York GiantsNYG,53.0,25.68,"$117,538,663","$43,913,062","$170,995,982",,,2018
14,Jacksonville JaguarsJAC,53.0,25.3,"$140,722,671","$20,812,620","$198,525,085",,,2018
15,Philadelphia EaglesPHI,53.0,26.43,"$136,119,127","$14,907,511","$171,556,674",,,2018
16,Oakland RaidersOAK,53.0,25.74,"$115,252,545","$28,994,233","$178,870,237",,,2018
17,Washington RedskinsWAS,53.0,25.92,"$102,905,158","$14,621,935","$172,795,336",,,2018
18,Arizona CardinalsARI,53.0,25.6,"$107,921,249","$40,226,555","$172,915,077",,,2018
19,Detroit LionsDET,53.0,26.4,"$109,575,685","$24,645,116","$175,496,566",,,2018
20,Denver BroncosDEN,53.0,25.29,"$114,730,854","$26,980,844","$181,619,996",,,2018
21,Green Bay PackersGB,53.0,25.15,"$124,176,442","$14,982,444","$175,766,368",,,2018
22,Chicago BearsCHI,53.0,25.58,"$151,948,529","$15,441,260","$179,499,788",,,2018
23,Atlanta FalconsATL,53.0,27.11,"$141,338,061","$9,172,909","$173,654,866",,,2018
24,New England PatriotsNE,52.0,27.25,"$155,807,993","$10,991,148","$175,954,265",,,2018
25,Kansas City ChiefsKC,52.0,25.75,"$143,955,068","$22,862,302","$176,891,845",,,2018
26,Seattle SeahawksSEA,53.0,25.47,"$124,852,499","$22,740,742","$175,111,279",,,2018
27,Los Angeles ChargersLAC,53.0,26.0,"$144,473,149","$15,367,556","$177,286,710",,,2018
28,Tampa Bay BuccaneersTB,53.0,25.85,"$157,768,609","$11,163,023","$189,900,886",,,2018
29,Los Angeles RamsLAR,53.0,25.55,"$158,602,121","$16,825,476","$179,872,330",,,2018
30,New Orleans SaintsNO,51.0,26.35,"$138,920,060","$22,778,103","$176,019,524",,,2018
31,Minnesota VikingsMIN,53.0,25.75,"$172,763,838","$7,110,150","$190,331,422",,,2018
32,Carolina PanthersCAR,53.0,26.7,"$138,090,418","$12,588,681","$184,421,777",,,2018
