Player,college,state,WAR
Jeff Stevens,Loyola Marymount University,CA,61.83
Jemile Weeks,University of Miami,FL,87.03
Jered Weaver,California State University Long Beach,CA,40.76
Jeremy Accardo,Illinois State University,IL,76.41
Jeremy Guthrie,Brigham Young University,UT,78.19
Jeremy Hefner,Oral Roberts University,OK,40.76
Jeremy Horst,Armstrong Atlantic State University,GA,77.21
Jeremy Reed,California State University Long Beach,CA,40.76
Jermaine Curtis,"University of California, Los Angeles",CA,40.76
Jerome Williams,Southeastern Louisiana University,LA,40.76
Jerry Blevins,University of Dayton,OH,75.37
Jerry Hairston,Southern Illinois University Carbondale,IL,86.80
Jerry Sands,Catawba College,NC,81.52
Jesse Chavez,Riverside Community College,CA,40.76
Jesse Crain,University of Houston,TX,73.13
Jesse Litsch,South Florida Community College,FL,68.89
Jim Hoey,Rider University,NJ,71.70
Jim Miller,Mars Hill College,NC,68.89
Jim Thome,Illinois Central College,IL,86.51
Jimmy Nelson,University of Alabama,AL,40.76
Joba Chamberlain,University of Nebraska at Kearney,NE,40.76
Joe Beimel,Duquesne University,PA,75.37
Joe Blanton,University of Kentucky,KY,75.37
Joe Inglett,University of Nevada-Reno,NV,40.76
Joe Kelly,"University of California, Riverside",CA,40.76
Joe Mahoney,University of Richmond,VA,40.76
Joe Martinez,Boston College,MA,40.76
Joe Nathan,Stony Brook University,NY,66.25
Joe Paterson,Linfield College,OR,66.25
Joe Saunders,Virginia Polytechnic Institute and State University,VA,80.83
Joe Savery,Rice University,TX,61.83
Joe Smith,Wright State University,OH,61.83
Joe Thatcher,Indiana State University,IN,61.83
Joe Thurston,Sacramento City College,CA,61.83
Joel Pineiro,Edison College,FL,40.76
Joey Butler,University of New Orleans,LA,40.76
Joey Devine,North Carolina State University,NC,73.13
Joey Terdoslavich,California State University Long Beach,CA,40.76
John Axford,Canisius College,NY,75.37
John Baker,"University of California, Berkeley",CA,61.83
John Bowker,California State University Long Beach,CA,40.76
John Ely,Miami University of Ohio,OH,61.83
John Gast,Florida State University,FL,40.76
John Gaub,University of Minnesota,MN,71.70
John Hester,Stanford University,CA,40.76
John Lackey,Grayson County College,TX,77.21
John Lannan,Siena College,NY,40.76
John Maine,University of North Carolina at Charlotte,NC,40.76
John Mayberry,Stanford University,CA,86.80
John McDonald,University of Connecticut at Avery Point,CT,84.85
Johnny Giavotella,University of New Orleans,LA,78.19
Jon Jay,University of Miami,FL,87.94
Jon Rauch,Morehead State University,KY,66.25
Jonathan Albaladejo,Miami-Dade College,FL,40.76
Jonathan Diaz,North Carolina State University,NC,40.76
Jonathan Lucroy,University of Louisiana at Lafayette,LA,85.25
Jonathan Papelbon,Mississippi State University,MS,66.25
Jonathan Sanchez,Ohio Dominican University,OH,81.52
Jonny Gomes,Santa Rosa Junior College,CA,80.37
Jordan Brown,University of Arizona,AZ,40.76
Jordan Danks,University of Texas at Austin,TX,40.76
Jordan Pacheco,University of New Mexico,NM,40.76
Jordan Zimmermann,University of Wisconsin at Stevens Point,WI,79.05
Jordy Mercer,Oklahoma State University,OK,40.76
Jorge Posada,Calhoun Community College,AL,40.76
Jose Bautista,Chipola College,FL,89.49
Josh Bard,Texas Tech University,TX,79.05
Josh Collmenter,Central Michigan University,MI,73.13
Josh Donaldson,Auburn University,AL,40.76
Josh Edgin,The Ohio State University,OH,40.76
Josh Fields,University of Georgia,GA,40.76
Josh Harrison,University of Cincinnati,OH,86.22
Josh Kinney,Quincy University,IL,40.76
Josh Lindblom,Purdue University,IN,68.89
Josh Outman,University of Central Missouri,MO,40.76
Josh Phegley,Indiana University-Bloomington,IN,40.76
Josh Prince,University of Texas at Austin,TX,40.76
Josh Rodriguez,Rice University,TX,40.76
Josh Roenicke,"University of California, Los Angeles",CA,66.25
Josh Rupe,Louisburg College,NC,40.76
Josh Rutledge,University of Alabama,AL,40.76
Josh Satin,"University of California, Berkeley",CA,40.76
Josh Spence,Arizona State University,AZ,61.83
Josh Tomlin,Texas Tech University,TX,76.41
Josh Willingham,University of North Alabama,AL,87.72
Josh Zeid,Tulane University,LA,40.76
Juan Pierre,University of South Alabama,AL,40.76
Julio Borbon,University of Tennessee,TN,79.05
Julio Lugo,Connors State College,OK,40.76
Justin Christian,Auburn University,AL,83.81
Justin Freeman,Kennesaw State University,GA,40.76
Justin Grimm,University of Georgia,GA,40.76
Justin Hampson,Southwestern Illinois College,IL,40.76
Justin Masterson,San Diego State University,CA,68.89
Justin Maxwell,University of Maryland,MD,40.76
Justin Ruggiano,Texas A&M University,TX,82.49
Justin Smoak,University of South Carolina,SC,85.25
Justin Thomas,Youngstown State University,OH,40.76
Justin Turner,California State University Fullerton,CA,79.79
Justin Verlander,Old Dominion University,VA,40.76
Justin Wilson,California State University Fresno,CA,40.76
Kam Mickolio,College of Eastern Utah,UT,68.89
Kelly Shoppach,Baylor University,TX,83.81
Kendall Graveman,Mississippi State University,MS,40.76
Kevin Chapman,University of Florida,FL,40.76
Kevin Correia,"California Polytechnic State University, San Luis Obispo",CA,40.76
Kevin Frandsen,San Jose State University,CA,40.76
Kevin Gausman,Louisiana State University,LA,40.76
Kevin Kouzmanoff,University of Arkansas at Little Rock,AR,40.76
Kevin Mattison,University of North Carolina at Asheville,NC,40.76
Kevin Pillar,California State University Dominguez Hills,CA,40.76
Kevin Slowey,Winthrop University,SC,61.83
Kevin Whelan,Texas A&M University,TX,40.76
Kevin Youkilis,University of Cincinnati,OH,88.29
Khris Davis,California State University Fullerton,CA,40.76
Kip Wells,Baylor University,TX,40.76
Kole Calhoun,Arizona State University,AZ,40.76
Kolten Wong,University of Hawaii at Manoa,HI,40.76
Koyie Hill,Wichita State University,KS,40.76
Kris Johnson,Wichita State University,KS,40.76
Kurt Suzuki,California State University Fullerton,CA,86.80
Kyle Crockett,University of Virginia,VA,40.76
Kyle Gibson,University of Missouri Columbia,MO,40.76
Kyle Hudson,University of Illinois at Urbana-Champaign,IL,40.76
Kyle Lohse,Butte College,CA,61.83
Kyle Seager,University of North Carolina at Chapel Hill,NC,84.85
Kyle Weiland,University of Notre Dame,IN,40.76
Lance Berkman,Rice University,TX,88.29
Lance Cormier,University of Alabama,AL,73.13
Lance Lynn,University of Mississippi,MS,68.89
Lance Pendleton,Rice University,TX,66.25
Landon Powell,University of South Carolina,SC,40.76
Lew Ford,Dallas Baptist University,TX,40.76
Logan Forsythe,University of Arkansas,AR,84.16
Logan Kensing,Texas A&M University,TX,40.76
Logan Schafer,"California Polytechnic State University, San Luis Obispo",CA,76.41
Lonnie Chisenhall,University of South Carolina,SC,86.51
Louis Coleman,Louisiana State University,LA,73.13
Lucas Duda,University of Southern California,CA,85.76
Lucas Luetge,Rice University,TX,40.76
Luke Carlin,Northeastern University,MA,40.76
Luke Gregerson,St. Xavier University,IL,71.70
Luke Hochevar,University of Tennessee,TN,77.21
Luke Montz,Hill College,TX,40.76
Luke Putkonen,University of North Carolina at Chapel Hill,NC,40.76
Luke Scott,Indian River Community College,FL,80.83
Lyle Overbay,University of Nevada-Reno,NV,40.76
Manny Parra,American River College,CA,40.76
Marc Krauss,Ohio University,OH,40.76
Marc Rzepczynski,"University of California, Riverside",CA,61.83
Marco Estrada,Glendale Community College,CA,80.37
Marco Gonzales,Gonzaga University,WA,40.76
Marcus Semien,"University of California, Berkeley",CA,40.76
Marcus Stroman,Duke University,NC,40.76
Marcus Thames,East Central Community College,MS,40.76
Mark Buehrle,Jefferson College,MO,74.23
Mark DeRosa,University of Pennsylvania,PA,78.19
Mark DiFelice,Western Carolina University,NC,73.13
Mark Ellis,University of Florida,FL,87.60
Mark Hamilton,Tulane University,LA,61.83
Mark Hendrickson,Washington State University,WA,40.76
Mark Kotsay,California State University Fullerton,CA,80.37
Mark Lowe,University of Texas at Arlington,TX,68.89
Mark Melancon,University of Arizona,AZ,77.21
Mark Reynolds,University of Virginia,VA,84.50
Mark Teahen,St. Mary's College of California,CA,40.76
Mark Teixeira,Georgia Institute of Technology,GA,88.17
Mark Worrell,University of Arizona,AZ,40.76
Marlon Byrd,Georgia Perimeter College,GA,87.49
Mat Gamel,Chipola College,FL,40.76
Matt Adams,Slippery Rock University of Pennsylvania,PA,40.76
Matt Albers,"San Jacinto College, North Campus",TX,75.37
Matt Angle,The Ohio State University,OH,40.76
Matt Carpenter,Texas Christian University,TX,40.76
Matt Daley,Bucknell University,PA,73.13
Matt den Dekker,University of Florida,FL,40.76
Matt Diaz,Florida State University,FL,40.76
Matt Downs,University of Alabama,AL,86.51
Matt Garza,California State University Fresno,CA,40.76
Matt Hague,Oklahoma State University,OK,40.76
Matt Harvey,University of North Carolina at Chapel Hill,NC,40.76
Matt Langwell,Rice University,TX,40.76
Matt LaPorta,University of Florida,FL,40.76
Matt Lindstrom,Brigham Young University-Idaho,ID,68.89
Matt Maloney,University of Mississippi,MS,61.83
Matt McBride,Lehigh University,PA,40.76
Matt Palmer,Three Rivers Community College,MO,40.76
Matt Reynolds,Austin Peay State University,TN,66.25
Matt Thornton,Grand Valley State University,MI,61.83
Matt Tolbert,University of Mississippi,MS,61.83
Matt Wieters,Georgia Institute of Technology,GA,88.63
Matthew Joyce,Florida Southern College,FL,88.29
Max Scherzer,University of Missouri Columbia,MO,40.76
Micah Owings,Georgia Institute of Technology,GA,66.25
Michael Bourn,University of Houston,TX,87.94
Michael Choice,University of Texas at Arlington,TX,40.76
Michael Crotta,Florida Atlantic University,FL,73.13
Michael Kohn,College of Charleston,SC,70.38
Michael McKenry,Middle Tennessee State University,TN,68.89
Michael Roth,University of South Carolina,SC,40.76
Michael Schwimer,University of Virginia,VA,61.83
Michael Taylor,Stanford University,CA,40.76
Michael Wacha,Texas A&M University,TX,40.76
Michael Young,"University of California, Santa Barbara",CA,87.83
Mickey Storey,Florida Atlantic University,FL,40.76
Mike Adams,Texas A&M University-Kingsville,TX,76.41
Mike Aviles,Concordia College-Bronxville,NY,81.52
Mike Baxter,Columbia University,NY,83.12
Mike Belfiore,Boston College,MA,40.76
Mike Costanzo,Coastal Carolina University,SC,40.76
Mike Ekstrom,Oregon State University,OR,40.76
Mike Fiers,Nova Southeastern University,FL,71.70
Mike Fontenot,Louisiana State University,LA,81.52
Mike Gonzalez,"San Jacinto College, North Campus",TX,71.70
Mike Jacobs,Grossmont College,CA,40.76
Mike Kickham,Missouri State University,MO,40.76
Mike MacDougal,Wake Forest University,NC,68.89
Mike McCoy,University of San Diego,CA,84.50
Mike Minor,Vanderbilt University,TN,77.21
Mike Nickeas,Georgia Institute of Technology,GA,66.25
Mike O'Connor,George Washington University,DC,66.25
Mike Olt,University of Connecticut,CT,40.76
Mike Pelfrey,Wichita State University,KS,40.76
Mike Rivera,Troy University,AL,66.25
Mike Zagurski,University of Kansas,KS,61.83
Mike Zunino,University of Florida,FL,40.76
Miles Mikolas,Nova Southeastern University,FL,40.76
Mitch Maier,University of Toledo,OH,84.50
Mitch Moreland,Mississippi State University,MS,68.89
Mitch Stetter,Indiana State University,IN,61.83
Mitchell Boggs,University of Georgia,GA,75.37
Nate Freiman,Duke University,NC,40.76
Nate Jones,Northern Kentucky University,KY,40.76
Nate Karns,Texas Tech University,TX,40.76
Nate Schierholtz,Chabot College,CA,85.53
Neal Cotts,Illinois State University,IL,40.76
Neil Wagner,North Dakota State University,ND,40.76
Nelson Figueroa,Brandeis University,MA,71.70
Nick Blackburn,Seminole State College,OK,75.37
Nick Buss,University of Southern California,CA,40.76
Nick Christiani,Vanderbilt University,TN,40.76
Nick Green,Georgia Perimeter College,GA,40.76
Nick Hagadone,University of Washington,WA,40.76
Nick Hundley,University of Arizona,AZ,87.94
Nick Maronde,University of Florida,FL,40.76
Nick Masset,St. Petersburg College,FL,68.89
Nick Punto,Saddleback College,CA,86.80
Nick Swisher,The Ohio State University,OH,87.72
Nick Tepesch,University of Missouri Columbia,MO,40.76
Nick Vincent,California State University Long Beach,CA,40.76
Nolan Reimold,Bowling Green State University,OH,85.25
Nyjer Morgan,Walla Walla Community College,WA,87.94
Omar Quintanilla,University of Texas at Austin,TX,40.76
Omir Santos,East Central College,MO,40.76
Orlando Hudson,Spartanburg Methodist College,SC,83.81
P.J. Walters,University of South Alabama,AL,61.83
Paco Rodriguez,University of Florida,FL,40.76
Pat Burrell,University of Miami,FL,85.53
Pat Misch,Western Michigan University,MI,68.89
Pat Neshek,Butler University,IN,66.25
Paul Goldschmidt,Texas State University,TX,82.09
Paul Janish,Rice University,TX,40.76
Paul Maholm,Mississippi State University,MS,68.89
Pedro Alvarez,Vanderbilt University,TN,40.76
Pete Orr,Galveston College,TX,77.21
Phil Coke,San Joaquin Delta College,CA,73.13
Phil Dumatrait,Bakersfield College,CA,73.13
Phil Gosselin,University of Virginia,VA,40.76
Phil Irwin,University of Mississippi,MS,40.76
Philip Humber,Rice University,TX,61.83
Placido Polanco,"Miami-Dade College, Wolfson Campus",FL,87.49
Preston Claiborne,Tulane University,LA,40.76
Preston Guilmet,University of Arizona,AZ,40.76
Quintin Berry,San Diego State University,CA,40.76
R.J. Alvarez,Florida Atlantic University,FL,40.76
Rajai Davis,University of Connecticut at Avery Point,CT,40.76
Randy Choate,Florida State University,FL,73.13
Randy Wells,Southwestern Illinois College,IL,40.76
Randy Williams,Lamar University,TX,40.76
Randy Wolf,Pepperdine University,CA,61.83
Raul Ibanez,"Miami-Dade College, Kendall Campus",FL,40.76
Reed Johnson,California State University Fullerton,CA,86.05
Reggie Willits,University of Oklahoma,OK,40.76
Rex Brothers,Lipscomb University,TN,74.23
Rich Harden,Central Arizona College,AZ,40.76
Rich Hill,University of Michigan,MI,40.76
Rich Thompson,James Madison University,VA,40.76
Rickie Weeks,Southern University and A&M College,LA,87.94
Ricky Romero,California State University Fullerton,CA,66.25
Rob Brantly,"University of California, Riverside",CA,40.76
Rob Johnson,Saddleback College,CA,40.76
Rob Scahill,Bradley University,IL,40.76
Rob Wooten,University of North Carolina at Chapel Hill,NC,40.76
Robbie Weinhardt,Oklahoma State University,OK,40.76
Robby Hammock,Georgia Perimeter College,GA,61.83
Rod Barajas,Cerritos College,CA,86.51
Roger Kieschnick,Texas Tech University,TX,40.76
Ross Detwiler,Missouri State University,MO,61.83
Ross Gload,University of South Florida,FL,40.76
Ross Ohlendorf,Princeton University,NJ,79.79
Ross Wolf,Wabash Valley College,IL,40.76
Roy Oswalt,Holmes Community College,MS,40.76
Russell Martin,Chipola College,FL,87.83
Ryan Braun,University of Miami,FL,89.32
Ryan Cook,University of Southern California,CA,73.13
Ryan Flaherty,Vanderbilt University,TN,40.76
Ryan Franklin,Seminole State College,OK,71.70
Ryan Goins,Dallas Baptist University,TX,40.76
Ryan Hanigan,Rollins College,FL,87.14
Ryan Howard,Missouri State University,MO,86.05
Ryan Jackson,University of Miami,FL,40.76
Ryan Lavarnway,Yale University,CT,82.49
Ryan Ludwick,University of Nevada-Las Vegas,NV,40.76
Ryan Perry,University of Arizona,AZ,66.25
Ryan Raburn,South Florida Community College,FL,66.25
Ryan Reid,James Madison University,VA,40.76
Ryan Roberts,Eastfield College,TX,87.83
Ryan Rohlinger,University of Oklahoma,OK,66.25
Ryan Spilborghs,"University of California, Santa Barbara",CA,40.76
Ryan Theriot,Louisiana State University,LA,80.83
Ryan Verdugo,Louisiana State University,LA,40.76
Ryan Vogelsong,Kutztown University of Pennsylvania,PA,82.49
Ryan Wheeler,Loyola Marymount University,CA,40.76
Ryan Zimmerman,University of Virginia,VA,87.26
Sam Demel,Texas Christian University,TX,73.13
Sam Dyson,University of South Carolina,SC,40.76
Sam Freeman,University of Kansas,KS,40.76
Sam Fuld,Stanford University,CA,87.60
Scott Atchison,Texas Christian University,TX,40.76
Scott Baker,Oklahoma State University,OK,79.05
Scott Barnes,St. John's University,NY,40.76
Scott Cousins,University of San Francisco,CA,80.83
Scott Downs,University of Kentucky,KY,73.13
Scott Feldman,College of San Mateo,CA,40.76
Scott Hairston,Central Arizona College,AZ,82.09
Scott Linebrink,Concordia University at Austin,TX,68.89
Scott Maine,University of Miami,FL,68.89
Scott Proctor,Florida State University,FL,66.25
Scott Richmond,Bossier Parish Community College,LA,40.76
Scott Sizemore,Virginia Commonwealth University,VA,87.03
Sean Doolittle,University of Virginia,VA,40.76
Sean Green,University of Louisville,KY,71.70
Sean Henn,McLennan Community College,TX,40.76
Sean Marshall,Virginia Commonwealth University,VA,68.89
Sergio Mitre,San Diego City College,CA,68.89
Sergio Romo,Arizona Western College,AZ,66.25
Seth Maness,East Carolina University,NC,40.76
Seth Smith,University of Mississippi,MS,83.12
Shane Peterson,California State University Long Beach,CA,40.76
Shane Robinson,Florida State University,FL,40.76
Shaun Marcum,University of Missouri Columbia,MO,81.52
Shawn Camp,George Mason University,VA,74.23
Shawn Kelley,Austin Peay State University,TN,40.76
Shawn Tolleson,Baylor University,TX,40.76
Shelley Duncan,University of Arizona,AZ,83.81
Skip Schumaker,Loyola Marymount University,CA,84.50
Sonny Gray,Vanderbilt University,TN,40.76
Stephen Drew,Florida State University,FL,87.49
Stephen Fife,University of Utah,UT,40.76
Stephen Pryor,Tennessee Technological University,TN,40.76
Stephen Strasburg,San Diego State University,CA,61.83
Steve Ames,Gonzaga University,WA,40.76
Steve Cishek,Carson-Newman College,TN,73.13
Steve Clevenger,Southeastern Louisiana University,LA,79.05
Steve Edlefsen,University of Nebraska at Lincoln,NE,71.70
Steve Holm,American River College,CA,40.76
Steve Pearce,Indian River Community College,FL,40.76
Steve Susdorf,California State University Fresno,CA,40.76
Steven Hill,Stephen F Austin State University,TX,40.76
Steven Wright,University of Hawaii at Manoa,HI,40.76
Tanner Scheppers,California State University Fresno,CA,40.76
Taylor Teagarden,University of Texas at Austin,TX,79.79
Ted Lilly,Fresno City College,CA,40.76
Thad Weber,University of Nebraska at Lincoln,NE,40.76
Thomas Field,Texas State University,TX,80.37
Tim Byrdak,Rice University,TX,74.23
Tim Dillard,Itawamba Community College,MS,73.13
Tim Federowicz,University of North Carolina at Chapel Hill,NC,78.19
Tim Hudson,Chattahoochee Valley Community College,AL,61.83
Tim Lincecum,University of Washington,WA,40.76
Tim Stauffer,University of Richmond,VA,76.41
Tim Wakefield,Florida Institute of Technology,FL,40.76
Todd Cunningham,Jacksonville State University,AL,40.76
Todd Frazier,"Rutgers, the State University of New Jersey",NJ,84.85
Todd Helton,University of Tennessee,TN,87.72
Tom Gorzelanny,Triton College,IL,61.83
Tom Koehler,Stony Brook University,NY,40.76
Tommy Hottovy,Wichita State University,KS,70.38
Tommy Hunter,University of Alabama,AL,70.38
Tommy Medica,Santa Clara University,CA,40.76
Tommy Milone,University of Southern California,CA,79.79
Tony Campana,University of Cincinnati,OH,84.85
Tony Cingrani,Rice University,TX,40.76
Tony Sanchez,Boston College,MA,40.76
Tony Sipp,Clemson University,SC,61.83
Tony Watson,University of Nebraska at Lincoln,NE,61.83
Travis Buck,Arizona State University,AZ,81.52
Travis Hafner,Cowley County Community College,KS,86.80
Trevor Bauer,"University of California, Los Angeles",CA,40.76
Trevor Crowe,University of Arizona,AZ,73.13
Troy Tulowitzki,California State University Long Beach,CA,88.86
Trystan Magnuson,University of Louisville,KY,40.76
Tuffy Gosewisch,Arizona State University,AZ,40.76
Ty Wigginton,University of North Carolina at Asheville,NC,40.76
Tyler Colvin,Clemson University,SC,40.76
Tyler Graham,Oregon State University,OR,40.76
Tyler Greene,Georgia Institute of Technology,GA,81.52
Tyler Lyons,Oklahoma State University,OK,40.76
Tyler Moore,Mississippi State University,MS,40.76
Tyler Thornburg,Charleston Southern University,SC,40.76
Tyson Brummett,"University of California, Los Angeles",CA,40.76
Tyson Ross,"University of California, Berkeley",CA,40.76
Val Pascucci,University of Oklahoma,OK,66.25
Vance Worley,California State University Long Beach,CA,79.05
Vic Black,Dallas Baptist University,TX,40.76
Vinnie Chulk,St. Thomas University,FL,40.76
Vinnie Pestano,California State University Fullerton,CA,66.25
Vinny Rottino,University of Wisconsin at La Crosse,WI,40.76
Wade LeBlanc,University of Alabama,AL,81.52
Wade Miley,Southeastern Louisiana University,LA,68.89
Will Ohman,Pepperdine University,CA,66.25
Will Rhymes,College of William and Mary,VA,40.76
Will Venable,Princeton University,NJ,87.49
Willie Bloomquist,Arizona State University,AZ,40.76
Willie Eyre,College of Eastern Utah,UT,40.76
Willie Harris,Louisiana State University,LA,40.76
Wyatt Toregas,Virginia Polytechnic Institute and State University,VA,40.76
Xavier Nady,"University of California, Berkeley",CA,40.76
Yan Gomes,Barry University,FL,40.76
Yasmani Grandal,University of Miami,FL,40.76
Yonder Alonso,University of Miami,FL,80.83
Zach Kroenke,University of Nebraska at Lincoln,NE,70.38
Zach Lutz,Alvernia College,PA,40.76
Zach Putnam,University of Michigan,MI,40.76
Zach Stewart,Texas Tech University,TX,61.83
Zach Walters,University of San Diego,CA,40.76
Zack Cozart,University of Mississippi,MS,84.85
