year,state,per
2011,AL,13.266666666666666
2011,AR,10.966666666666667
2011,AZ,12.514285714285714
2011,CA,13.58409090909091
2011,CO,12.6
2011,CT,12.988888888888885
2011,DC,8.95
2011,FL,11.744999999999996
2011,GA,12.088888888888887
2011,HI,9.2
2011,IA,9.633333333333333
2011,ID,11.4
2011,IL,10.675
2011,IN,12.025
2011,KS,11.75
2011,KY,13.43888888888889
2011,LA,13.815384615384616
2011,MA,13.9
2011,MD,12.216666666666667
2011,MI,12.043749999999998
2011,MN,11.05
2011,MS,9.675
2011,NC,13.611111111111107
2011,NE,13.15
2011,NJ,9.7
2011,NM,17.8
2011,NV,11.428571428571427
2011,NY,10.255555555555556
2011,OH,11.458333333333336
2011,OK,11.444444444444445
2011,OR,11.46
2011,PA,12.244444444444444
2011,RI,14.333333333333336
2011,SC,13.2
2011,TN,12.37142857142857
2011,TX,9.965217391304344
2011,UT,11.1
2011,VA,10.87142857142857
2011,WA,12.344444444444445
2011,WI,17.380000000000006
2011,WV,0.75
2011,WY,4.4
2012,AL,11.72857142857143
2012,AR,10.95
2012,AZ,12.250000000000002
2012,CA,13.489361702127654
2012,CO,13.825
2012,CT,13.6
2012,DC,15.675
2012,FL,12.942857142857143
2012,GA,15.144444444444444
2012,HI,8.7
2012,IA,10.7
2012,ID,6.9
2012,IL,8.959999999999997
2012,IN,12.071428571428573
2012,KS,13.081818181818182
2012,KY,12.2
2012,LA,14.500000000000002
2012,MA,14.5
2012,MD,11.86
2012,MI,10.399999999999997
2012,MN,9.75
2012,MO,-7.3
2012,MS,8.125
2012,NC,14.31904761904762
2012,NE,9.4
2012,NJ,1.8999999999999997
2012,NM,9.933333333333334
2012,NV,14.116666666666665
2012,NY,10.533333333333333
2012,OH,13.407692307692306
2012,OK,12.3625
2012,OR,12.366666666666665
2012,PA,14.19
2012,RI,10.499999999999998
2012,SC,14.220000000000002
2012,TN,15.283333333333333
2012,TX,11.024000000000001
2012,UT,11.366666666666667
2012,VA,10.15
2012,WA,11.32
2012,WI,14.599999999999998
2012,WV,12.25
2013,AL,10.04
2013,AR,10.85
2013,AZ,14.65
2013,CA,14.356521739130438
2013,CO,14.72
2013,CT,13.89
2013,DC,15.433333333333332
2013,FL,12.022222222222226
2013,GA,15.98571428571429
2013,IA,12.5
2013,ID,12.5
2013,IL,12.1375
2013,IN,10.615384615384617
2013,KS,10.328571428571426
2013,KY,12.989285714285714
2013,LA,14.127272727272727
2013,MA,11.95
2013,MD,13.95
2013,MI,12.31333333333333
2013,MN,8.45
2013,MS,10.1
2013,NC,13.108695652173909
2013,NE,11.15
2013,NJ,18.6
2013,NM,4.0
2013,NV,14.250000000000002
2013,NY,9.10909090909091
2013,OH,12.853846153846154
2013,OK,11.425
2013,OR,12.22
2013,PA,11.4
2013,RI,13.3
2013,SC,8.925
2013,TN,8.885714285714286
2013,TX,12.804545454545455
2013,UT,12.9
2013,VA,13.971428571428572
2013,WA,7.250000000000003
2013,WI,13.500000000000002
2013,WV,8.7
2014,AL,4.880000000000001
2014,AR,8.76
2014,AZ,11.154545454545453
2014,CA,13.740816326530616
2014,CO,13.2
2014,CT,13.622222222222225
2014,DC,13.266666666666666
2014,FL,11.315
2014,GA,14.175
2014,IA,8.2
2014,IL,12.2625
2014,IN,15.541666666666664
2014,KS,11.96470588235294
2014,KY,13.044827586206894
2014,LA,13.525
2014,MA,12.760000000000002
2014,MD,11.583333333333336
2014,MI,11.48
2014,MN,18.2
2014,MS,10.0
2014,NC,13.92608695652174
2014,NE,12.25
2014,NJ,9.85
2014,NM,9.45
2014,NV,10.871428571428574
2014,NY,8.8
2014,OH,14.142857142857144
2014,OK,14.85
2014,OR,10.0
2014,PA,11.646153846153851
2014,RI,9.233333333333333
2014,SC,12.9
2014,SD,12.7
2014,TN,9.22
2014,TX,12.2
2014,UT,13.3
2014,VA,12.5625
2014,WA,12.638461538461538
2014,WI,12.38
2015,AL,10.760000000000002
2015,AR,13.1
2015,AZ,11.550000000000002
2015,CA,12.918867924528305
2015,CO,11.374999999999998
2015,CT,14.599999999999998
2015,DC,14.016666666666667
2015,FL,13.406666666666665
2015,GA,14.2625
2015,IA,10.566666666666665
2015,IL,14.333333333333336
2015,IN,14.715384615384615
2015,KS,9.800000000000002
2015,KY,12.025925925925925
2015,LA,14.592307692307696
2015,MA,13.919999999999998
2015,MD,10.242857142857146
2015,MI,10.916666666666664
2015,MN,15.4
2015,MT,5.8
2015,NC,12.925000000000002
2015,NE,10.666666666666666
2015,NJ,11.8
2015,NM,12.9
2015,NV,12.214285714285715
2015,NY,12.788888888888891
2015,OH,13.16666666666667
2015,OK,14.86
2015,OR,18.125
2015,PA,12.64
2015,RI,12.9
2015,SC,12.366666666666665
2015,SD,4.6
2015,TN,12.730769230769234
2015,TX,14.268421052631574
2015,UT,13.4
2015,VA,11.5125
2015,WA,12.192857142857143
2015,WI,12.19090909090909
2015,WV,26.2
2016,AL,11.575
2016,AR,13.6
2016,AZ,13.927272727272726
2016,CA,14.997959183673473
2016,CO,9.8
2016,CT,14.233333333333333
2016,DC,14.12
2016,FL,13.966666666666667
2016,GA,15.042857142857144
2016,IA,11.975
2016,IL,12.15
2016,IN,14.358333333333333
2016,KS,12.133333333333333
2016,KY,12.851515151515155
2016,LA,14.715384615384615
2016,MA,13.8
2016,MD,11.22
2016,MI,10.544444444444443
2016,MN,13.1
2016,NC,14.354166666666664
2016,NE,10.266666666666667
2016,NM,6.6
2016,NV,12.4
2016,NY,14.441666666666665
2016,OH,14.863636363636365
2016,OK,12.5
2016,OR,8.75
2016,PA,10.26923076923077
2016,RI,6.699999999999998
2016,SC,12.7
2016,TN,13.509090909090911
2016,TX,16.30625
2016,UT,15.5
2016,VA,11.6
2016,WA,11.48
2016,WI,13.95
2016,WV,25.7
2017,AL,6.7250000000000005
2017,AR,13.95
2017,AZ,12.51
2017,CA,15.530952380952385
2017,CO,12.15
2017,CT,17.349999999999998
2017,DC,10.383333333333336
2017,FL,12.493333333333332
2017,GA,11.500000000000002
2017,IA,11.575
2017,IL,11.671428571428573
2017,IN,16.7
2017,KS,12.77222222222222
2017,KY,14.329411764705885
2017,LA,14.693333333333333
2017,MA,14.419999999999998
2017,MD,4.833333333333333
2017,MI,10.788235294117653
2017,MN,13.6
2017,NC,13.7875
2017,NE,11.3
2017,NJ,7.6
2017,NM,10.233333333333333
2017,NV,12.333333333333332
2017,NY,10.180000000000003
2017,OH,12.041666666666664
2017,OK,13.86
2017,OR,8.466666666666667
2017,PA,10.507692307692308
2017,RI,0.2666666666666657
2017,SC,12.625
2017,TN,14.999999999999995
2017,TX,15.058823529411766
2017,UT,14.771428571428574
2017,VA,9.800000000000002
2017,WA,12.045454545454545
2017,WI,13.330000000000002
2017,WV,22.6
2018,AL,13.95
2018,AR,16.0
2018,AZ,12.7
2018,CA,14.64102564102564
2018,CO,10.833333333333336
2018,CT,17.7
2018,DC,19.75
2018,FL,11.685714285714289
2018,GA,11.933333333333335
2018,IA,8.866666666666667
2018,ID,4.9
2018,IL,12.9
2018,IN,13.084615384615386
2018,KS,12.618750000000002
2018,KY,13.472222222222225
2018,LA,12.409090909090908
2018,MA,14.1
2018,MD,13.033333333333333
2018,MI,13.4125
2018,NC,13.065217391304348
2018,NE,12.566666666666668
2018,NJ,11.5
2018,NM,16.133333333333333
2018,NV,11.999999999999998
2018,NY,12.036363636363633
2018,OH,15.014285714285714
2018,OK,13.220000000000002
2018,OR,10.9
2018,PA,9.590909090909092
2018,RI,20.3
2018,SC,16.73333333333333
2018,SD,-2.9
2018,TN,12.087500000000002
2018,TX,15.2375
2018,UT,16.666666666666668
2018,VA,11.490909090909089
2018,WA,14.830000000000002
2018,WI,11.8
2018,WV,24.1
